"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"11/06/2021","858.319","1.795,50","1.797,30","1.745,50","255,27K","-2,12%"
"14/06/2021","854.269","1.754,60","1.767,80","1.747,10","183,25K","-0,30%"
"15/06/2021","850.839","1.754,20","1.768,40","1.742,30","152,45K","0,71%"
"16/06/2021","846.268","1.765,50","1.782,80","1.758,30","141,62K","0,82%"
"17/06/2021","828.343","1.775,00","1.788,40","1.764,60","172,35K","0,03%"
"18/06/2021","821.950","1.769,20","1.777,10","1.737,50","225,46K","-1,63%"
"21/06/2021","825.489","1.743,70","1.758,00","1.740,20","151,55K","0,11%"
"22/06/2021","825.990","1.751,80","1.760,90","1.744,70","137,57K","0,02%"
"23/06/2021","824.687","1.750,00","1.754,30","1.727,80","215,84K","-0,83%"
"24/06/2021","825.308","1.734,00","1.746,00","1.721,10","177,39K","-0,84%"
"25/06/2021","827.980","1.726,00","1.765,00","1.721,80","246,37K","1,98%"
"28/06/2021","828.095","1.757,20","1.765,20","1.749,90","151,20K","0,08%"
"29/06/2021","824.908","1.762,60","1.771,50","1.747,70","166,18K","0,52%"
"30/06/2021","826.932","1.770,80","1.771,10","1.748,60","151,42K","-0,38%"
"01/07/2021","834.221","1.760,50","1.765,90","1.745,40","159,22K","0,05%"
"02/07/2021","830.998","1.763,80","1.767,70","1.752,00","146,41K","-0,15%"
"05/07/2021","833.747","1.757,00","1.782,40","1.753,60","240,37K","-0,10%"
"06/07/2021","837.890","1.757,40","1.761,10","1.749,90","114,77K","-0,10%"
"07/07/2021","841.483","1.753,60","1.770,00","1.750,50","168,11K","0,21%"
"08/07/2021","844.280","1.760,40","1.797,40","1.757,90","299,04K","2,01%"
"09/07/2021","842.378","1.793,60","1.801,90","1.787,60","164,65K","0,18%"
"12/07/2021","843.035","1.797,30","1.797,70","1.765,10","202,63K","-1,65%"
"13/07/2021","844.425","1.767,50","1.772,50","1.760,30","152,74K","-0,15%"
"14/07/2021","850.187","1.764,80","1.786,00","1.763,40","166,97K","0,27%"
"15/07/2021","854.781","1.769,40","1.789,60","1.767,10","174,08K","0,81%"
"16/07/2021","844.434","1.782,50","1.790,30","1.776,80","138,73K","-0,17%"
"19/07/2021","849.675","1.783,70","1.815,50","1.783,40","312,81K","0,81%"
"20/07/2021","846.765","1.794,20","1.811,50","1.793,00","153,59K","0,58%"
"21/07/2021","838.934","1.808,70","1.809,80","1.783,00","197,93K","-0,74%"
"22/07/2021","842.836","1.795,00","1.801,00","1.784,30","182,80K","0,30%"
"23/07/2021","838.762","1.798,70","1.812,70","1.793,10","220,88K","0,21%"
"26/07/2021","839.762","1.801,50","1.802,90","1.772,40","254,51K","-1,04%"
"27/07/2021","839.485","1.785,30","1.797,50","1.780,20","143,33K","0,67%"
"28/07/2021","841.389","1.794,80","1.797,80","1.787,40","145,79K","-0,36%"
"29/07/2021","849.498","1.789,20","1.789,30","1.758,50","257,43K","-1,43%"
"30/07/2021","843.798","1.769,90","1.800,30","1.769,30","222,61K","1,68%"
"02/08/2021","837.369","1.792,60","1.820,10","1.785,30","299,62K","1,30%"
"03/08/2021","835.912","1.820,60","1.828,30","1.813,80","200,41K","0,62%"
"04/08/2021","835.258","1.826,90","1.834,80","1.821,00","224,41K","0,15%"
"05/08/2021","831.877","1.834,50","1.870,60","1.823,00","352,79K","0,96%"
"06/08/2021","816.125","1.851,50","1.868,70","1.845,10","205,31K","0,84%"
"09/08/2021","801.792","1.864,30","1.871,40","1.847,50","201,36K","0,25%"
"10/08/2021","799.376","1.872,60","1.873,00","1.858,50","221,21K","-0,10%"
"11/08/2021","810.620","1.864,90","1.879,50","1.851,00","220,43K","-0,67%"
"12/08/2021","810.898","1.851,60","1.870,60","1.851,10","172,42K","0,87%"
"13/08/2021","821.703","1.869,50","1.873,30","1.856,60","186,06K","-0,47%"
"16/08/2021","825.761","1.860,80","1.868,10","1.844,20","234,08K","-0,53%"
"17/08/2021","828.414","1.848,30","1.850,40","1.802,40","352,86K","-2,45%"
"18/08/2021","827.731","1.807,10","1.812,50","1.781,70","311,35K","-1,25%"
"19/08/2021","829.159","1.789,80","1.796,20","1.777,40","203,24K","0,03%"
"20/08/2021","825.119","1.792,30","1.819,30","1.781,60","180,64K","0,21%"
"23/08/2021","835.310","1.788,40","1.817,70","1.780,50","2,97K","-0,07%"
"24/08/2021","834.645","1.795,20","1.801,50","1.782,00","151,37K","-0,10%"
"25/08/2021","830.255","1.786,90","1.811,40","1.771,20","242,86K","-0,49%"
"26/08/2021","833.242","1.777,40","1.795,70","1.773,70","180,34K","0,44%"
"27/08/2021","837.151","1.783,80","1.785,20","1.762,20","172,72K","-1,21%"
"30/08/2021","834.006","1.769,40","1.788,00","1.766,00","175,18K","1,20%"
"31/08/2021","831.451","1.787,70","1.789,00","1.776,40","104,48K","-0,25%"
"01/09/2021","830.070","1.779,50","1.789,30","1.772,40","129,89K","0,29%"
"02/09/2021","828.773","1.785,10","1.794,30","1.780,10","109,69K","0,04%"
"03/09/2021","837.335","1.784,30","1.788,40","1.773,30","123,97K","-0,49%"
"06/09/2021","834.545","1.776,30","1.791,00","1.770,40","142,00K","0,46%"
"07/09/2021","822.149","1.784,20","1.792,80","1.782,20","106,06K","0,20%"
"08/09/2021","822.118","1.787,60","1.789,80","1.766,10","153,25K","-0,89%"
"09/09/2021","822.946","1.771,90","1.781,30","1.753,00","161,10K","-0,44%"
"10/09/2021","819.547","1.777,90","1.800,70","1.775,70","167,78K","1,91%"
"13/09/2021","821.435","1.801,50","1.815,70","1.796,50","156,61K","0,37%"
"14/09/2021","826.427","1.800,20","1.804,60","1.789,00","105,39K","-0,57%"
"15/09/2021","821.207","1.791,40","1.801,70","1.785,00","134,15K","-0,33%"
"16/09/2021","803.433","1.789,40","1.806,30","1.785,80","110,41K","0,75%"
"17/09/2021","804.423","1.805,60","1.812,00","1.799,00","104,84K","0,53%"
"20/09/2021","810.014","1.810,20","1.814,60","1.803,60","84,23K","-0,16%"
"21/09/2021","812.803","1.812,10","1.821,60","1.805,50","100,54K","0,12%"
"22/09/2021","809.470","1.806,60","1.808,00","1.789,10","138,69K","-0,28%"
"23/09/2021","800.676","1.805,60","1.818,10","1.796,20","113,43K","0,46%"
"24/09/2021","803.572","1.817,00","1.831,40","1.815,40","106,60K","0,80%"
"27/09/2021","801.927","1.830,10","1.833,00","1.798,20","168,31K","-1,56%"
"28/09/2021","798.853","1.801,10","1.817,20","1.798,10","167,71K","0,81%"
"29/09/2021","797.046","1.815,20","1.830,70","1.808,20","173,34K","0,58%"
"30/09/2021","807.624","1.810,60","1.811,60","1.785,40","238,64K","-1,97%"
"01/10/2021","810.058","1.791,00","1.798,40","1.781,30","238,93K","0,46%"
"04/10/2021","811.073","1.796,40","1.802,00","1.789,30","173,04K","0,08%"
"05/10/2021","804.380","1.801,30","1.823,10","1.799,70","184,15K","1,10%"
"06/10/2021","809.803","1.821,30","1.828,20","1.814,40","192,98K","0,48%"
"07/10/2021","800.682","1.825,70","1.828,30","1.811,80","215,52K","-0,32%"
"08/10/2021","805.328","1.822,10","1.829,30","1.814,20","174,94K","-0,27%"
"11/10/2021","800.570","1.818,70","1.822,90","1.804,70","362,94K","-0,23%"
"12/10/2021","805.053","1.818,70","1.824,20","1.806,90","0,34K","0,09%"
"13/10/2021","817.474","1.812,90","1.843,90","1.809,00","318,49K","1,60%"
"14/10/2021","811.265","1.840,10","1.848,50","1.836,20","233,86K","-0,03%"
"15/10/2021","799.290","1.840,60","1.843,70","1.828,40","225,25K","-0,59%"
"18/10/2021","801.324","1.835,20","1.844,90","1.829,30","244,33K","0,54%"
"19/10/2021","801.883","1.843,60","1.854,20","1.834,40","197,80K","0,59%"
"20/10/2021","808.844","1.848,00","1.850,20","1.814,10","270,03K","-1,23%"
"21/10/2021","811.849","1.819,00","1.821,40","1.790,60","196,04K","-2,00%"
"22/10/2021","820.109","1.799,60","1.800,30","1.780,60","217,15K","-0,36%"
"25/10/2021","823.116","1.792,80","1.800,90","1.785,80","139,42K","0,55%"
"26/10/2021","815.732","1.798,90","1.809,70","1.796,20","128,88K","0,28%"
"27/10/2021","821.378","1.800,80","1.812,00","1.794,60","123,02K","0,49%"
"28/10/2021","821.581","1.807,40","1.809,50","1.788,50","173,72K","-0,34%"
"29/10/2021","815.885","1.805,40","1.815,80","1.792,10","177,71K","0,21%"
"01/11/2021","822.501","1.808,00","1.824,60","1.807,50","139,81K","0,77%"
"02/11/2021","821.143","1.821,50","1.829,90","1.816,00","142,41K","0,33%"
"03/11/2021","819.104","1.827,00","1.837,10","1.825,50","136,72K","0,48%"
"04/11/2021","830.090","1.834,00","1.843,30","1.821,80","227,46K","0,04%"
"05/11/2021","836.912","1.827,00","1.867,40","1.821,10","239,09K","0,26%"
"08/11/2021","836.150","1.862,20","1.876,50","1.851,90","231,02K","1,48%"
"09/11/2021","838.919","1.873,80","1.881,60","1.845,40","214,88K","-0,71%"
"10/11/2021","850.290","1.855,50","1.874,60","1.851,80","141,49K","0,82%"
"11/11/2021","853.993","1.872,00","1.904,00","1.869,70","268,55K","1,63%"
"12/11/2021","850.719","1.901,40","1.905,00","1.888,00","161,75K","-0,12%"
"15/11/2021","849.392","1.903,50","1.918,30","1.889,70","334,59K","0,40%"
"16/11/2021","846.970","1.903,50","1.918,30","1.889,70","334,59K","0,00%"
"17/11/2021","854.050","1.901,20","1.912,90","1.891,10","154,84K","0,16%"
"18/11/2021","849.304","1.911,90","1.976,50","1.878,60","423,05K","0,83%"
"19/11/2021","846.893","1.906,50","1.925,00","1.884,40","229,78K","-2,01%"
"22/11/2021","829.527","1.921,00","1.935,20","1.892,20","249,27K","0,69%"
"23/11/2021","822.032","1.908,40","1.952,60","1.903,00","224,00K","2,27%"
"24/11/2021","822.969","1.945,30","1.951,40","1.916,00","227,98K","-1,11%"
"25/11/2021","823.072","1.931,70","1.944,60","1.923,10","180,21K","0,71%"
"26/11/2021","830.767","1.938,50","1.974,90","1.931,50","241,53K","1,59%"
"29/11/2021","823.595","1.978,50","2.007,50","1.964,20","372,19K","1,49%"
"30/11/2021","816.368","2.001,00","2.078,80","1.985,80","447,65K","2,37%"
"01/12/2021","823.843","2.060,20","2.068,50","1.981,00","360,35K","-2,70%"
"02/12/2021","818.603","1.992,80","2.015,10","1.975,00","303,27K","0,61%"
"03/12/2021","832.911","2.000,30","2.004,00","1.960,60","262,09K","-0,77%"
"06/12/2021","826.458","1.988,70","1.994,80","1.952,00","162,20K","-1,22%"
"07/12/2021","823.562","1.953,70","1.956,90","1.908,10","220,37K","-1,59%"
"08/12/2021","820.408","1.920,10","1.930,10","1.895,20","195,46K","-1,06%"
"09/12/2021","819.659","1.928,40","1.951,00","1.924,00","149,83K","1,78%"
"10/12/2021","822.960","1.943,90","1.946,20","1.918,00","150,88K","-0,72%"
"13/12/2021","822.457","1.922,40","1.941,80","1.917,20","146,41K","0,01%"
"14/12/2021","815.930","1.936,10","1.939,50","1.909,80","153,28K","-0,41%"
"15/12/2021","820.134","1.920,90","1.948,80","1.915,60","153,31K","0,82%"
"16/12/2021","830.375","1.944,10","1.967,20","1.937,40","181,20K","1,29%"
"17/12/2021","831.678","1.957,80","1.965,10","1.942,60","147,90K","-0,41%"
"20/12/2021","828.707","1.958,70","1.959,80","1.915,70","181,37K","-0,74%"
"21/12/2021","821.122","1.922,40","1.929,40","1.888,30","128,05K","-1,42%"
"22/12/2021","823.474","1.924,00","1.943,40","1.920,10","136,04K","1,40%"
"23/12/2021","823.925","1.937,30","1.955,00","1.923,00","155,30K","0,77%"
"24/12/2021","824.481","1.942,40","1.944,50","1.921,40","135,15K","-1,55%"
"27/12/2021","828.185","1.927,10","1.941,60","1.918,20","108,44K","0,54%"
"28/12/2021","826.434","1.937,30","1.948,90","1.920,90","147,26K","-0,34%"
"29/12/2021","825.030","1.927,60","1.937,60","1.916,20","153,97K","-0,23%"
"30/12/2021","832.866","1.928,10","1.941,70","1.923,30","122,81K","0,76%"
"31/12/2021","837.508","1.934,30","1.952,20","1.930,40","142,50K","0,40%"
"03/01/2022","828.457","1.949,60","1.974,60","1.942,90","184,39K","0,13%"
"04/01/2022","836.657","1.957,40","1.982,70","1.953,00","172,39K","1,43%"
"05/01/2022","838.390","1.970,50","1.985,80","1.966,30","132,03K","0,44%"
"06/01/2022","827.709","1.981,60","1.984,00","1.962,70","139,42K","-0,49%"
"07/01/2022","826.986","1.978,50","2.003,00","1.974,40","138,13K","0,58%"
"10/01/2022","827.684","1.981,20","1.985,10","1.945,50","181,44K","-1,38%"
"11/01/2022","836.243","1.952,70","1.960,90","1.941,00","139,51K","-0,17%"
"12/01/2022","839.154","1.960,00","1.960,10","1.938,00","154,92K","-0,38%"
"13/01/2022","837.816","1.953,10","1.957,80","1.928,00","176,68K","-0,71%"
"14/01/2022","836.420","1.931,90","1.935,50","1.891,80","231,49K","-1,98%"
"17/01/2022","838.219","1.899,80","1.912,20","1.896,30","166,20K","0,43%"
"18/01/2022","837.569","1.907,40","1.908,10","1.881,60","178,20K","-0,81%"
"19/01/2022","849.010","1.886,80","1.897,80","1.870,90","170,91K","0,14%"
"20/01/2022","847.128","1.895,80","1.921,30","1.893,50","177,14K","1,08%"
"21/01/2022","845.219","1.896,20","1.900,40","1.853,40","193,83K","-2,52%"
"24/01/2022","850.590","1.863,60","1.878,40","1.849,70","167,43K","0,38%"
"25/01/2022","852.224","1.868,30","1.892,00","1.861,10","161,48K","-0,10%"
"26/01/2022","841.563","1.884,10","1.910,70","1.872,30","218,39K","0,37%"
"27/01/2022","831.809","1.877,50","1.894,00","1.865,00","194,28K","0,38%"
"28/01/2022","828.740","1.883,70","1.885,60","1.851,00","218,82K","-1,29%"
"31/01/2022","828.879","1.853,90","1.864,70","1.834,50","260,81K","-0,95%"
"01/02/2022","829.595","1.836,60","1.857,80","1.830,60","243,56K","0,69%"
"02/02/2022","834.225","1.852,30","1.858,80","1.820,10","255,61K","-1,57%"
"03/02/2022","835.265","1.821,40","1.827,60","1.797,20","179,48K","-0,90%"
"04/02/2022","837.073","1.809,40","1.826,00","1.785,00","159,49K","0,32%"
"07/02/2022","843.276","1.823,90","1.834,80","1.811,00","137,29K","0,27%"
"08/02/2022","844.599","1.813,20","1.822,90","1.805,00","150,35K","-0,16%"
"09/02/2022","844.635","1.815,10","1.848,20","1.808,40","175,24K","1,39%"
"10/02/2022","843.268","1.839,60","1.847,80","1.830,60","143,05K","0,05%"
"11/02/2022","857.223","1.844,40","1.864,30","1.843,30","163,27K","0,31%"
"14/02/2022","860.481","1.852,30","1.869,10","1.847,60","174,76K","0,95%"
"15/02/2022","849.909","1.865,40","1.866,70","1.838,70","182,82K","-1,02%"
"16/02/2022","858.142","1.851,80","1.852,80","1.836,30","123,36K","0,07%"
"17/02/2022","877.085","1.855,10","1.866,90","1.851,90","123,76K","0,53%"
"18/02/2022","876.400","1.856,50","1.867,90","1.837,60","201,80K","-0,48%"
"21/02/2022","881.280","1.856,50","1.867,90","1.837,60","201,80K","0,00%"
"22/02/2022","877.627","1.840,00","1.853,00","1.830,20","158,04K","0,02%"
"23/02/2022","881.699","1.849,90","1.874,40","1.846,50","127,47K","1,23%"
"24/02/2022","883.937","1.872,60","1.878,60","1.849,70","115,34K","-1,13%"
"25/02/2022","870.642","1.853,70","1.861,20","1.843,00","103,18K","-0,35%"
"28/02/2022","880.639","1.843,50","1.858,20","1.838,50","119,21K","0,46%"
"01/03/2022","901.150","1.855,00","1.862,40","1.846,60","114,14K","0,24%"
"02/03/2022","892.584","1.855,10","1.857,80","1.841,90","131,29K","-0,20%"
"03/03/2022","893.298","1.850,40","1.879,60","1.826,50","267,20K","1,23%"
"04/03/2022","911.301","1.879,00","1.882,50","1.819,00","252,54K","-2,33%"
"07/03/2022","926.084","1.820,90","1.833,30","1.806,10","165,15K","-1,00%"
"08/03/2022","943.921","1.809,70","1.845,40","1.808,40","203,42K","0,34%"
"09/03/2022","912.264","1.835,80","1.860,20","1.816,30","180,89K","1,67%"
"10/03/2022","916.210","1.859,30","1.861,50","1.836,10","141,72K","-0,50%"
"11/03/2022","915.717","1.840,60","1.848,40","1.830,70","176,30K","-0,10%"
"14/03/2022","900.842","1.840,60","1.848,40","1.830,70","176,30K","0,00%"
"15/03/2022","882.647","1.834,90","1.850,30","1.824,50","149,55K","-0,02%"
"16/03/2022","883.921","1.839,70","1.848,90","1.823,50","167,07K","-0,47%"
"17/03/2022","895.294","1.824,20","1.833,70","1.817,70","139,72K","0,03%"
"18/03/2022","886.031","1.839,60","1.842,80","1.821,80","143,82K","-0,30%"
"21/03/2022","892.454","1.823,60","1.830,90","1.819,10","111,40K","-0,20%"
"22/03/2022","886.364","1.821,40","1.834,90","1.810,70","155,54K","-0,20%"
"23/03/2022","899.799","1.819,20","1.826,80","1.802,50","208,90K","-0,56%"
"24/03/2022","904.705","1.808,10","1.813,60","1.783,40","249,49K","-0,32%"
"25/03/2022","903.488","1.814,40","1.815,20","1.763,00","310,37K","-2,09%"
"28/03/2022","888.592","1.817,00","1.817,00","1.768,90","1,33K","0,28%"
"29/03/2022","883.955","1.764,20","1.771,50","1.730,70","258,82K","-1,83%"
"30/03/2022","891.052","1.737,20","1.748,20","1.734,70","151,26K","0,18%"
"31/03/2022","893.439","1.738,70","1.751,70","1.726,00","189,18K","0,15%"
"01/04/2022","889.350","1.741,50","1.743,00","1.729,00","171,90K","-0,61%"
"04/04/2022","889.851","1.731,30","1.742,20","1.721,60","255,17K","-0,40%"
"05/04/2022","887.272","1.723,60","1.744,30","1.704,50","300,55K","0,62%"
"06/04/2022","889.630","1.733,60","1.734,80","1.695,00","266,35K","-1,71%"
"07/04/2022","893.370","1.708,20","1.714,20","1.696,60","176,80K","-0,13%"
"08/04/2022","899.831","1.706,40","1.722,00","1.704,40","157,54K","0,39%"
"11/04/2022","902.474","1.707,20","1.716,50","1.702,60","131,77K","0,03%"
"12/04/2022","908.728","1.709,50","1.712,70","1.690,10","174,47K","-0,61%"
"13/04/2022","913.851","1.693,70","1.719,50","1.678,40","248,88K","0,78%"
"14/04/2022","912.553","1.717,20","1.738,30","1.711,70","200,62K","0,82%"
"15/04/2022","911.751","1.726,30","1.734,60","1.712,90","160,72K","-0,48%"
"18/04/2022","912.517","1.717,90","1.726,40","1.711,50","147,37K","-0,08%"
"19/04/2022","901.188","1.715,20","1.739,60","1.709,10","144,87K","0,08%"
"20/04/2022","903.744","1.751,40","1.774,40","1.750,40","192,86K","2,91%"
"21/04/2022","902.391","1.773,10","1.784,60","1.768,40","136,89K","0,71%"
"22/04/2022","898.787","1.782,50","1.792,50","1.774,30","133,74K","0,33%"
"25/04/2022","881.055","1.789,20","1.805,00","1.776,00","174,17K","0,11%"
"26/04/2022","884.699","1.777,30","1.789,40","1.770,00","151,73K","-0,74%"
"27/04/2022","875.918","1.782,10","1.812,00","1.779,40","153,29K","1,72%"
"28/04/2022","884.673","1.807,70","1.811,60","1.780,20","168,90K","-0,87%"
"29/04/2022","886.000","1.790,30","1.806,40","1.786,90","103,68K","0,78%"
"02/05/2022","870.225","1.805,50","1.817,00","1.799,40","120,51K","0,39%"
"03/05/2022","868.395","1.811,50","1.824,60","1.803,30","154,59K","0,08%"
"04/05/2022","878.732","1.807,90","1.814,90","1.798,60","121,26K","-0,36%"
"05/05/2022","871.536","1.805,20","1.819,10","1.799,60","118,65K","0,46%"
"06/05/2022","878.139","1.818,90","1.818,90","1.787,60","137,77K","-0,96%"
"09/05/2022","867.768","1.795,50","1.798,00","1.785,40","94,40K","-0,47%"
"10/05/2022","856.379","1.790,80","1.796,60","1.773,90","137,83K","-0,73%"
"11/05/2022","867.035","1.777,10","1.786,30","1.768,80","124,32K","-0,31%"
"12/05/2022","858.747","1.773,10","1.773,30","1.759,10","138,70K","-0,47%"
"13/05/2022","853.973","1.760,60","1.762,10","1.740,20","142,86K","-0,82%"
"16/05/2022","858.948","1.750,00","1.767,50","1.743,10","145,26K","0,73%"
"17/05/2022","853.804","1.761,30","1.769,50","1.754,80","112,65K","0,02%"
"18/05/2022","860.892","1.764,40","1.778,80","1.763,00","117,57K","0,56%"
"19/05/2022","866.516","1.771,80","1.772,30","1.746,20","176,90K","-1,22%"
"20/05/2022","871.122","1.748,40","1.757,90","1.731,40","156,22K","-0,01%"
"23/05/2022","871.566","1.749,80","1.752,80","1.732,90","130,66K","-0,77%"
"24/05/2022","878.286","1.735,50","1.738,00","1.720,60","176,73K","-0,58%"
"25/05/2022","871.889","1.723,00","1.723,00","1.699,10","198,62K","-0,98%"
"26/05/2022","869.234","1.707,80","1.729,50","1.705,90","174,68K","0,78%"
"27/05/2022","866.503","1.723,60","1.723,75","1.718,65",,"-0,23%"
"30/05/2022","867.772","1.724,20","1.737,40","1.710,60","206,27K","-0,33%"
"31/05/2022","859.325","1.719,70","1.719,70","1.714,20","0,02K","-0,29%"
"01/06/2022","864.019","1.712,90","1.731,20","1.701,70","173,62K","1,17%"
"02/06/2022","867.583","1.729,50","1.739,40","1.713,70","184,18K","-0,44%"
"03/06/2022","858.998","1.719,60","1.740,50","1.719,40","154,71K","0,49%"
"06/06/2022","854.518","1.728,40","1.746,40","1.722,30","154,37K","0,69%"
"07/06/2022","861.417","1.736,00","1.742,90","1.706,70","232,70K","-1,33%"
"08/06/2022","865.102","1.711,60","1.717,30","1.703,30","163,29K","-0,48%"
"09/06/2022","867.749","1.707,20","1.707,80","1.668,90","268,09K","-1,86%"
"10/06/2022","879.335","1.673,70","1.689,90","1.661,90","217,23K","0,37%"
"13/06/2022","864.142","1.685,40","1.688,80","1.667,60","141,17K","-0,31%"
"14/06/2022","858.404","1.684,90","1.688,80","1.668,10","143,93K","-0,42%"
"15/06/2022","866.626","1.673,20","1.696,90","1.661,30","227,94K","0,28%"
"16/06/2022","884.304","1.682,80","1.693,50","1.663,30","241,28K","0,32%"
"17/06/2022","877.954","1.680,10","1.685,00","1.646,60","243,05K","-1,52%"
"20/06/2022","876.603","1.651,00","1.657,20","1.627,70","219,86K","-1,34%"
"21/06/2022","874.184","1.629,20","1.650,10","1.628,70","197,06K","0,17%"
"22/06/2022","876.435","1.636,50","1.671,60","1.622,20","279,82K","2,07%"
"23/06/2022","870.199","1.669,00","1.673,10","1.649,30","201,96K","-0,08%"
"24/06/2022","871.323","1.669,50","1.684,40","1.667,50","179,99K","0,20%"
"27/06/2022","867.696","1.670,50","1.710,40","1.666,50","215,49K","1,79%"
"28/06/2022","869.029","1.708,40","1.738,70","1.704,00","205,08K","1,67%"
"29/06/2022","868.938","1.734,40","1.736,60","1.708,80","173,22K","-0,56%"
"30/06/2022","867.456","1.725,50","1.734,20","1.714,80","139,44K","0,00%"
"01/07/2022","871.015","1.721,00","1.722,80","1.698,40","157,45K","-0,67%"
"04/07/2022","871.796","1.703,40","1.707,40","1.672,50","157,15K","-1,99%"
"05/07/2022","852.116","1.675,60","1.691,30","1.667,50","171,81K","0,64%"
"06/07/2022","838.421","1.673,40","1.685,10","1.668,00","131,77K","-0,50%"
"07/07/2022","837.161","1.680,20","1.688,90","1.648,30","237,01K","-0,03%"
"08/07/2022","838.973","1.672,80","1.677,80","1.645,60","183,17K","-1,68%"
"11/07/2022","836.829","1.649,90","1.674,30","1.649,10","148,89K","0,92%"
"12/07/2022","831.544","1.655,90","1.666,00","1.650,60","163,17K","-0,49%"
"13/07/2022","838.667","1.657,20","1.659,80","1.632,20","179,25K","-1,30%"
"14/07/2022","827.125","1.634,60","1.650,30","1.626,30","163,73K","0,16%"
"15/07/2022","823.150","1.632,40","1.663,10","1.621,10","271,10K","1,19%"
"18/07/2022","823.283","1.662,90","1.675,50","1.648,00","171,02K","-0,13%"
"19/07/2022","823.338","1.654,50","1.666,80","1.641,20","182,80K","0,24%"
"20/07/2022","816.951","1.657,70","1.679,40","1.653,80","186,93K","0,68%"
"21/07/2022","829.715","1.668,80","1.674,80","1.658,50","189,29K","-0,22%"
"22/07/2022","831.857","1.667,20","1.670,90","1.640,70","196,36K","-1,25%"
"25/07/2022","827.665","1.647,20","1.648,50","1.634,50","128,41K","-0,25%"
"26/07/2022","827.691","1.636,10","1.660,30","1.633,60","197,98K","0,55%"
"27/07/2022","831.865","1.651,40","1.673,10","1.637,40","220,93K","0,02%"
"28/07/2022","838.268","1.639,10","1.643,20","1.618,30","254,70K","-1,16%"
"29/07/2022","841.268","1.631,70","1.686,40","1.631,10","293,52K","2,80%"
"01/08/2022","845.604","1.678,60","1.685,60","1.670,00","187,59K","0,23%"
"02/08/2022","842.980","1.678,00","1.720,40","1.667,10","297,62K","2,11%"
"03/08/2022","844.877","1.715,20","1.725,80","1.705,10","239,65K","-0,13%"
"04/08/2022","857.380","1.709,70","1.760,60","1.705,50","305,72K","2,33%"
"05/08/2022","852.917","1.758,30","1.775,60","1.750,30","227,04K","0,90%"
"08/08/2022","853.061","1.769,40","1.778,40","1.755,80","191,35K","0,42%"
"09/08/2022","857.199","1.774,00","1.791,80","1.770,20","283,02K","-0,01%"
"10/08/2022","850.905","1.782,00","1.788,20","1.773,40","200,76K","-0,06%"
"11/08/2022","847.840","1.777,00","1.777,60","1.756,60","169,10K","-0,72%"
"12/08/2022","849.351","1.763,10","1.769,90","1.749,20","137,33K","-0,49%"
"15/08/2022","845.493","1.752,00","1.755,00","1.733,90","166,08K","-0,84%"
"16/08/2022","842.098","1.739,70","1.751,00","1.737,60","153,09K","0,02%"
"17/08/2022","836.589","1.740,80","1.754,90","1.719,00","167,77K","0,33%"
"18/08/2022","839.696","1.751,00","1.761,20","1.745,90","134,30K","0,48%"
"19/08/2022","835.512","1.751,00","1.761,20","1.745,90","134,30K","0,00%"
"22/08/2022","832.370","1.755,00","1.763,50","1.738,20","132,77K","-0,78%"
"23/08/2022","834.689","1.754,60","1.773,40","1.752,90","127,32K","1,34%"
"24/08/2022","835.394","1.763,40","1.784,20","1.758,20","192,24K","-0,22%"
"25/08/2022","835.510","1.783,10","1.818,40","1.782,90","226,15K","3,14%"
"26/08/2022","828.573","1.817,00","1.818,70","1.791,80","183,72K","-0,31%"
"29/08/2022","831.964","1.810,50","1.822,90","1.778,10","179,82K","-1,56%"
"30/08/2022","823.254","1.780,80","1.793,20","1.779,10","127,86K","0,06%"
"31/08/2022","816.775","1.783,30","1.803,20","1.780,50","155,57K","0,88%"
"01/09/2022","812.817","1.799,50","1.806,90","1.793,20","116,27K","0,19%"
"02/09/2022","819.945","1.801,90","1.819,00","1.800,10","150,94K","0,51%"
"05/09/2022","818.879","1.808,00","1.809,30","1.789,00","107,78K","-1,02%"
"06/09/2022","815.120","1.792,30","1.836,90","1.791,80","230,91K","1,85%"
"07/09/2022","823.604","1.822,60","1.825,40","1.806,20","143,80K","-0,37%"
"08/09/2022","817.697","1.818,70","1.819,70","1.782,00","185,32K","-1,70%"
"09/09/2022","819.162","1.786,90","1.804,20","1.783,90","128,75K","0,69%"
"12/09/2022","824.027","1.801,60","1.808,60","1.793,20","86,09K","-0,14%"
"13/09/2022","818.927","1.796,80","1.832,40","1.793,70","197,50K","1,54%"
"14/09/2022","813.094","1.827,90","1.833,80","1.821,30","110,18K","0,00%"
"15/09/2022","799.693","1.823,80","1.829,30","1.792,70","175,77K","-1,65%"
"16/09/2022","807.859","1.801,00","1.812,20","1.798,90","105,46K","0,50%"
"19/09/2022","807.506","1.805,80","1.811,95","1.805,55",,"0,30%"
"20/09/2022","803.814","1.808,20","1.841,90","1.808,00","159,62K","0,74%"
"21/09/2022","809.507","1.822,40","1.822,80","1.804,20","118,08K","-0,40%"
"22/09/2022","807.431","1.812,30","1.827,30","1.811,20","105,99K","0,56%"
"23/09/2022","798.727","1.821,80","1.832,40","1.819,80","107,50K","0,01%"
